Title,Author,Publication Year
Girisha shisoshu / Kelsen Hans; Nagao Ryuichi,"Kelsen, Hans [Verfasser]; Nagao, Ryuichi [Mitwirkender]",2009
Hans Kelsen / Peter Römer. [Centro di Studi Filosofici Sant'Abbondio],"Römer, Peter [Verfasser]",2009
Hans Kelsen : eine politikwissenschaftliche Einführung / hrsg. von Tamara Ehs,"Ehs, Tamara [Herausgeber]",2009
"Hans Kelsen: Leben - Werk - Wirksamkeit : Ergebnisse einer internationalen Tagung, veranstaltet von der Kommission für Rechtsgeschichte Österreichs und dem Hans-Kelsen-Institut (19. - 21. April 2009) / hrsg. von Robert Walter ...","Walter, Robert [Herausgeber]",2009
Istota i rozwój sądownictwa konstytucyjnego / Hans Kelsen ; z języka niemieckiego przełożył Bolesław Banaszkiewicz ; posłowiem opatrzyła Sławomira Wronkowska = Wesen und Entwicklung der Staatsgerichtsbarkeit <poln.>,"Kelsen, Hans [Verfasser]; Banaszkiewicz, Bolesław [Mitwirkender]; Wronkowska, Sławomira [Mitwirkender]",2009
"La polémica Schmitt, Kelsen sobre la justicia constitucional : el defensor de la constitución versus ¿Quién debe ser el defensor de la constitución? / Carl Schmitt ; Hans Kelsen. Estudio preliminar de Giorgio Lombardi. Trad. de Manuel Sánchez Sarto y Roberto J. Brie","Lombardi, Giorgio [Herausgeber]; Schmitt, Carl Kelsen, Hans",2009
Reine Rechtslehre / Hans Kelsen,"Kelsen, Hans [Verfasser]",2009
Autobiografía : [edición especial con motivo del 125 aniversario del nacimiento de Hans Kelsen] / Hans Kelsen. Matthias Jestaedt ed. Trad. y presentación Luis Villar Borda. En cooperación con el Instituto Hans Kelsen. Universidad Externado de Colombia,"Kelsen, Hans [Verfasser]; Jestaedt, Matthias [Herausgeber]",2008
Den rena rättsläran,"Kelsen, Hans [Verfasser]",2008
Hans Kelsen und die Europäische Union : Erörterungen moderner (Nicht-)Staatlichkeit / Tamara Ehs (Hrsg.),"Ehs, Tamara [Herausgeber]",2008
"Rechts-Staat : Staat, internationale Gemeinschaft und Völkerrecht bei Hans Kelsen","Brunkhorst, Hauke [Herausgeber]; Voigt, Rüdiger [Herausgeber]; Brunkhorst, Hauke [Herausgeber]; Voigt, Rüdiger [Herausgeber]",2008
"Rechts-Staat : Staat, internationale Gemeinschaft und Völkerrecht bei Hans Kelsen / Hauke Brunkhorst/Rüdiger Voigt (Hrsg.)","Brunkhorst, Hauke [Herausgeber]",2008
Reine Rechtslehre : Einleitung in die rechtswissenschaftliche Problematik / Hans Kelsen,"Kelsen, Hans [Verfasser]",2008
Scritti autobiografici / Hans Kelsen. Trad. e cura di Mario G. Losano,"Kelsen, Hans [Verfasser]; Losano, Mario G. [Herausgeber]",2008
Una battaglia contro gli spettri : diritto e politica nella Reine Rechtslehre di Hans Kelsen ; (1905 - 1934) / Antonino Scalone,"Scalone, Antonino [Verfasser]",2008
